theme_id,theme_name,theme_description,theme_icon,subtheme_id,subtheme_name,subtheme_description,subtheme_icon,indicator_id,indicator_title,indicator_description,indicator_source,indicator_unit,indicator_icon,indicator_map1_url,indicator_map2_url
04-species-occurrences,4.0 Species Occurrences,"Field-based observations help identify groups of interacting populations of different species living in the same area, as well as the overall characteristics of an ecological community. These include species richness (number of species), species abundance (population sizes), trophic structure (food web relationships), and interactions such as competition and predation. In the context of biodiversity and landscape ecology, communities are vital because they form the functional units of ecosystems and play a key role in nutrient cycling, energy flow, and maintaining ecosystem stability.",icon-icon-species-occurrences,04-01-mammals,4.1 Mammals,"Vertebrate animals of the class Mammalia are distinguished by having milk-producing mammary glands to nourish their young, a large neocortex region in the brain, body fur or hair for insulation, and three middle ear bones that amplify sound and greatly enhance hearing sensitivity. They are endothermic (warm-blooded), breathe air, and are quadrupedal, with most mammals using four limbs for land movement. More than 80 unique species are known to inhabit the southwest Coast Mountains, ranging in size from small ground squirrels to large-ranging grizzly bears.",icon-mammals,04-01-01-mammals,4.1.1 Mammals,"Vertebrate animals of the class Mammalia are distinguished by having milk-producing mammary glands to nourish their young, a large neocortex region in the brain, body fur or hair for insulation, and three middle ear bones that amplify sound and greatly enhance hearing sensitivity. They are endothermic (warm-blooded), breathe air, and are quadrupedal, with most mammals using four limbs for land movement. More than 80 unique species are known to inhabit the southwest Coast Mountains, ranging in size from small ground squirrels to large-ranging grizzly bears.",Source,occurrences,icon-mammals,,
04-species-occurrences,4.0 Species Occurrences,"Field-based observations help identify groups of interacting populations of different species living in the same area, as well as the overall characteristics of an ecological community. These include species richness (number of species), species abundance (population sizes), trophic structure (food web relationships), and interactions such as competition and predation. In the context of biodiversity and landscape ecology, communities are vital because they form the functional units of ecosystems and play a key role in nutrient cycling, energy flow, and maintaining ecosystem stability.",icon-icon-species-occurrences,04-02-herptiles,4.2 Herptiles,"Herptiles are an informal group of vertebrates that includes both amphibians and reptiles found in both terrestrial and freshwater environments. Amphibians (Class Amphibia) are commonly characterized by a life cycle that features an aquatic larval stage with gills and a terrestrial adult stage with lungs. Reptiles (Class Reptilia) are air-breathing, ectothermic (cold-blooded) vertebrates with scaly skin, most of which lay eggs on land. Over 25 distinct species are documented in the southwest Coast Mountains, including various toads, frogs, salamanders, turtles, lizards, and snakes.",icon-herptiles,04-02-01-herptiles,4.2.1 Herptiles,"Herptiles are an informal group of vertebrates that includes both amphibians and reptiles found in both terrestrial and freshwater environments. Amphibians (Class Amphibia) are commonly characterized by a life cycle that features an aquatic larval stage with gills and a terrestrial adult stage with lungs. Reptiles (Class Reptilia) are air-breathing, ectothermic (cold-blooded) vertebrates with scaly skin, most of which lay eggs on land. Over 25 distinct species are documented in the southwest Coast Mountains, including various toads, frogs, salamanders, turtles, lizards, and snakes.",Source,occurrences,icon-herptiles,,
04-species-occurrences,4.0 Species Occurrences,"Field-based observations help identify groups of interacting populations of different species living in the same area, as well as the overall characteristics of an ecological community. These include species richness (number of species), species abundance (population sizes), trophic structure (food web relationships), and interactions such as competition and predation. In the context of biodiversity and landscape ecology, communities are vital because they form the functional units of ecosystems and play a key role in nutrient cycling, energy flow, and maintaining ecosystem stability.",icon-icon-species-occurrences,04-03-vascular-plants,4.3 Vascular Plants,"Vascular plants (Tracheophyta) have specialized vascular tissues (xylem and phloem) for transporting water and nutrients, allowing them to grow taller and more complex than non-vascular plants. They possess true roots, stems, and leaves. Types include trees, shrubs, grasses, flowering plants (angiosperms), and ferns, many of which produce seeds. Their ability to grow larger and access resources (sunlight, water, nutrients) gives them a competitive advantage, making them the dominant group in most terrestrial ecosystems. There are 60 distinct vascular plant species documented in the southwest Coast Mountains.",icon-vascular-plants,04-03-01-vascular-plants,4.3.1 Vascular Plants,"Vascular plants (Tracheophyta) have specialized vascular tissues (xylem and phloem) for transporting water and nutrients, allowing them to grow taller and more complex than non-vascular plants. They possess true roots, stems, and leaves. Types include trees, shrubs, grasses, flowering plants (angiosperms), and ferns, many of which produce seeds. Their ability to grow larger and access resources (sunlight, water, nutrients) gives them a competitive advantage, making them the dominant group in most terrestrial ecosystems. There are 60 distinct vascular plant species documented in the southwest Coast Mountains.",Source,occurrences,icon-vascular-plants,,
04-species-occurrences,4.0 Species Occurrences,"Field-based observations help identify groups of interacting populations of different species living in the same area, as well as the overall characteristics of an ecological community. These include species richness (number of species), species abundance (population sizes), trophic structure (food web relationships), and interactions such as competition and predation. In the context of biodiversity and landscape ecology, communities are vital because they form the functional units of ecosystems and play a key role in nutrient cycling, energy flow, and maintaining ecosystem stability.",icon-icon-species-occurrences,04-04-non-vascular-plants,4.4 Non-Vascular Plants,"Non-vascular plants, known informally as bryophytes, include various mosses, liverworts, and hornworts. They lack true vascular tissue, roots, stems, and leaves, and instead use hair-like rhizoids for anchoring and accessing water and nutrients. Bryophytes grow close to the ground, are typically found in moist environments, and reproduce through spores. They play a crucial role in ecological communities, acting as pioneer species that promote soil formation and regulate water and nutrient cycles. Over 280 unique bryophyte species have been documented in the southwest Coast Mountains.",icon-bryophytes,04-04-01-non-vascular-plants,4.4.1 Non-Vascular Plants,"Non-vascular plants, known informally as bryophytes, include various mosses, liverworts, and hornworts. They lack true vascular tissue, roots, stems, and leaves, and instead use hair-like rhizoids for anchoring and accessing water and nutrients. Bryophytes grow close to the ground, are typically found in moist environments, and reproduce through spores. They play a crucial role in ecological communities, acting as pioneer species that promote soil formation and regulate water and nutrient cycles. Over 280 unique bryophyte species have been documented in the southwest Coast Mountains.",Source,occurrences,icon-bryophytes,,
05-climate-change-refugia,5.0 Climate Change Refugia,"Areas of the landscape that remain buffered from the most severe effects of climate change, enabling sensitive species to survive locally. They are characterized by stable microclimates, unique hydrological features, or protective topography that provides sanctuary. In the context of biodiversity and landscape ecology, refugia are vital for species survival, acting as ""arks"" that safeguard genetic diversity and ecological communities. They serve as source populations for future re-colonization of the surrounding landscape, thereby supporting ecosystem functions and building resilience.",icon-icon-climate-change-refugia,05-01-macrorefugia,5.1 MacroRefugia,"Macrorefugia are large geographical regions, such as entire mountain ranges or vast forest systems, that serve as long-term sanctuaries and offer a broad spectrum of buffered environmental conditions across the landscape. Their main function is to maintain large, viable populations and support ecosystem-level processes, enabling adaptation through genetic diversity and species migration over time. In the southern Coast Mountains, these include higher elevation slopes and mountain ranges, large intact watersheds, riparian corridors and associated wetlands, and extensive old-growth forests.",icon-macro-refugia,05-01-01-macrorefugia,5.1.1 MacroRefugia,"Macrorefugia are large geographical regions, such as entire mountain ranges or vast forest systems, that serve as long-term sanctuaries and offer a broad spectrum of buffered environmental conditions across the landscape. Their main function is to maintain large, viable populations and support ecosystem-level processes, enabling adaptation through genetic diversity and species migration over time. In the southern Coast Mountains, these include higher elevation slopes and mountain ranges, large intact watersheds, riparian corridors and associated wetlands, and extensive old-growth forests.",In preparation,relative index value (0-100),icon-macro-refugia,,
05-climate-change-refugia,5.0 Climate Change Refugia,"Areas of the landscape that remain buffered from the most severe effects of climate change, enabling sensitive species to survive locally. They are characterized by stable microclimates, unique hydrological features, or protective topography that provides sanctuary. In the context of biodiversity and landscape ecology, refugia are vital for species survival, acting as ""arks"" that safeguard genetic diversity and ecological communities. They serve as source populations for future re-colonization of the surrounding landscape, thereby supporting ecosystem functions and building resilience.",icon-icon-climate-change-refugia,05-02-microrefugia,5.2 MicroRefugia,"Microrefugia are much smaller, localized ""safe spots,"" potentially just a cool, moist slope or a shaded canyon bottom, defined by highly localized variations in topography or hydrology. They enable the short-term persistence of sensitive species by providing immediate shelter from extreme conditions and serving as critical stepping stones for survival across otherwise inhospitable areas. In the southern Coast Mountains, these include north-facing slopes and shaded ravines, groundwater-fed springs and perennial streams, and topographic depressions where dense cool air flows downslope, creating cooler pockets of buffered habitat.",icon-micro-refugia,05-02-01-microrefugia,5.2.1 MicroRefugia,"Microrefugia are much smaller, localized ""safe spots,"" potentially just a cool, moist slope or a shaded canyon bottom, defined by highly localized variations in topography or hydrology. They enable the short-term persistence of sensitive species by providing immediate shelter from extreme conditions and serving as critical stepping stones for survival across otherwise inhospitable areas. In the southern Coast Mountains, these include north-facing slopes and shaded ravines, groundwater-fed springs and perennial streams, and topographic depressions where dense cool air flows downslope, creating cooler pockets of buffered habitat.",In preparation,relative index value (0-100),icon-micro-refugia,,
06-connectivity-network,6.0 Connectivity Network,"An integrated system of core habitats (protected areas and other undisturbed natural regions) connected by wildlife corridors that are established through coordinated land-use policies to enable the unimpeded movement of species and the flow of natural processes. They are essential for maintaining and restoring ecological functions, halting current trends in biodiversity loss, and assisting species in adapting to changing environmental conditions in fragmented wildland habitats affected by landscape disturbance and climate change.",icon-icon-connectivity-network,06-01-priority-linkages,6.1 Priority Linkages,"Modelled pathways of ecological connectivity that provide the most efficient movement corridors for wildlife and gene flow across the widest range of species. These pathways identify areas of least resistance for animals and plants to move between protected areas and other high-value habitats, including core and stepping-stone patches found in fragmented landscapes at lower elevations and in valley bottoms. Mapping these movement corridors helps guide the development of practical conservation solutions that deliver the greatest benefits for vulnerable plants and animals.",icon-priority-linkages,06-01-01-priority-linkages,6.1.1 Priority Linkages,"Modelled pathways of ecological connectivity that provide the most efficient movement corridors for wildlife and gene flow across the widest range of species. These pathways identify areas of least resistance for animals and plants to move between protected areas and other high-value habitats, including core and stepping-stone patches found in fragmented landscapes at lower elevations and in valley bottoms. Mapping these movement corridors helps guide the development of practical conservation solutions that deliver the greatest benefits for vulnerable plants and animals.",Source,relative index value (0-100),icon-priority-linkages,,
06-connectivity-network,6.0 Connectivity Network,"An integrated system of core habitats (protected areas and other undisturbed natural regions) connected by wildlife corridors that are established through coordinated land-use policies to enable the unimpeded movement of species and the flow of natural processes. They are essential for maintaining and restoring ecological functions, halting current trends in biodiversity loss, and assisting species in adapting to changing environmental conditions in fragmented wildland habitats affected by landscape disturbance and climate change.",icon-icon-connectivity-network,06-02-human-footprint,6.2 Human Footprint,"The extent and degree to which human impacts reduce or damage ecosystem health and fragment natural wildland habitats. This includes both the permanent loss of wildland habitat for urban expansion (e.g., environment, roads, energy pipelines, and utility corridors) and shorter-term landscape disturbances caused by agriculture, timber harvesting, and mining. The cumulative impact of increased human activities in these areas results in biodiversity loss and disrupts natural patterns of ecological connectivity.",icon-human-footprint,06-02-01-human-footprint,6.2.1 Human Footprint,"The extent and degree to which human impacts reduce or damage ecosystem health and fragment natural wildland habitats. This includes both the permanent loss of wildland habitat for urban expansion (e.g., environment, roads, energy pipelines, and utility corridors) and shorter-term landscape disturbances caused by agriculture, timber harvesting, and mining. The cumulative impact of increased human activities in these areas results in biodiversity loss and disrupts natural patterns of ecological connectivity.",Source,relative index value (0-100),icon-human-footprint,,
06-connectivity-network,6.0 Connectivity Network,"An integrated system of core habitats (protected areas and other undisturbed natural regions) connected by wildlife corridors that are established through coordinated land-use policies to enable the unimpeded movement of species and the flow of natural processes. They are essential for maintaining and restoring ecological functions, halting current trends in biodiversity loss, and assisting species in adapting to changing environmental conditions in fragmented wildland habitats affected by landscape disturbance and climate change.",icon-icon-connectivity-network,06-03-climate-corridors,6.3 Climate Corridors,"Defined geographical areas of natural habitat, riparian zones (areas along rivers or streams), or mountain ranges, that connect larger patches of suitable wildland habitat. They are used to develop conservation strategies to mitigate the effects of a warming climate by providing physical routes for plants and animals to migrate to more suitable, cooler environments (e.g., higher latitudes or elevations). They are a practical, on-the-ground approach to reducing habitat fragmentation and encouraging species dispersal, aiming to build landscape resilience in the southern Coast Mountains.",icon-climate-corridors,06-03-01-climate-corridors,6.3.1 Climate Corridors,"Defined geographical areas of natural habitat, riparian zones (areas along rivers or streams), or mountain ranges, that connect larger patches of suitable wildland habitat. They are used to develop conservation strategies to mitigate the effects of a warming climate by providing physical routes for plants and animals to migrate to more suitable, cooler environments (e.g., higher latitudes or elevations). They are a practical, on-the-ground approach to reducing habitat fragmentation and encouraging species dispersal, aiming to build landscape resilience in the southern Coast Mountains.",In preparation,relative index value (0-100),icon-climate-corridors,,
06-connectivity-network,6.0 Connectivity Network,"An integrated system of core habitats (protected areas and other undisturbed natural regions) connected by wildlife corridors that are established through coordinated land-use policies to enable the unimpeded movement of species and the flow of natural processes. They are essential for maintaining and restoring ecological functions, halting current trends in biodiversity loss, and assisting species in adapting to changing environmental conditions in fragmented wildland habitats affected by landscape disturbance and climate change.",icon-icon-connectivity-network,06-04-connectivity-conservation,6.4 Connectivity Conservation,"Actions focused on establishing, improving, or maintaining ecosystem health and connectivity for the natural environment and for the benefit of present and future generations. Actions are focused on protecting and restoring disturbed wildland habitats to reduce the cumulative impacts of ongoing landscape disturbances and climate change. Through coordination across geographic scales and jurisdictional boundaries, these actions can help to decrease or halt current trends in biodiversity loss and disruptions to ecological connectivity.",icon-connectivity-conservation,06-04-01-connectivity-overlay,6.4.1 Connectivity Overlay,A planning tool based on the results of an ecological connectivity network design that establishes specific management criteria for identifying compatible and incompatible land use activities according to their potential to cause adverse effects on animal movement within a designated wildlife corridor. The overlay references existing zoning or resource development plans and prioritizes the management of more restrictive land-use activities within zones with moderate and high connectivity potential. It also helps to increase awareness and understanding of ecological connectivity within the community.,Source,categorical values,icon-connectivity-overlay,,
06-connectivity-network,6.0 Connectivity Network,"An integrated system of core habitats (protected areas and other undisturbed natural regions) connected by wildlife corridors that are established through coordinated land-use policies to enable the unimpeded movement of species and the flow of natural processes. They are essential for maintaining and restoring ecological functions, halting current trends in biodiversity loss, and assisting species in adapting to changing environmental conditions in fragmented wildland habitats affected by landscape disturbance and climate change.",icon-icon-connectivity-network,06-04-connectivity-conservation,6.4 Connectivity Conservation,"Actions focused on establishing, improving, or maintaining ecosystem health and connectivity for the natural environment and for the benefit of present and future generations. Actions are focused on protecting and restoring disturbed wildland habitats to reduce the cumulative impacts of ongoing landscape disturbances and climate change. Through coordination across geographic scales and jurisdictional boundaries, these actions can help to decrease or halt current trends in biodiversity loss and disruptions to ecological connectivity.",icon-connectivity-conservation,06-04-02-effective-means,6.4.2 Effective Means,"Formal and informal mechanisms that planners and decision-makers can use to implement a wildlife connectivity action plan. Formal mechanisms include legal means, such as Indigenous law, legislation, and land-use regulations; policy instruments, such as official community plans rooted in law; bylaws; binding agreements; partnerships; or contracts. Informal mechanisms encompass voluntary agreements or partnerships not governed by law, incentive programs, negotiation outcomes, cultural customs, or recognized traditional values. Spatial representations of these mechanisms help guide practical solutions for implementing a wildlife connectivity action plan.",Source,categorical values,icon-effective-means,,
07-habitat-cores,7.0 Habitat Cores,"Protected areas and other relatively undisturbed wildland habitats are defined by stable environmental conditions and healthy terrestrial ecosystem functions that sustain the life-cycle needs of diverse animal and plant communities. Wildlife habitat cores range from large home-range areas to smaller stepping-stone patches within fragmented landscapes. They serve as resource hubs within broader networks of ecological connectivity, offering refuge for larger animals migrating along movement pathways between areas of higher habitat suitability, as well as for resident populations of smaller animals.",icon-icon-habitat-cores,07-01-large-range-species,7.1 Large-Range Species,"Habitat cores for large-ranging focal species reflect access to food, water, and shelter; reproduction; social structures (i.e., solitary or group behaviour); environmental stability; and the ability to move freely within a given home range.  For carnivore species in this grouping, habitat cores are characterized by mean home-range sizes of 30 square kilometres, minimum stepping-stone patch sizes of 13,000 hectares, and dispersal distances of 60 kilometres.",icon-large-range-species,07-01-01-grizzly-bear,7.1.1 Grizzly Bear,"Grizzly bears are powerful omnivores with a distinctive shoulder hump and long claws adapted for digging. Their fur ranges from dark brown to blonde, often tipped with silver giving them a “grizzled” appearance. Found in remote mountainous and forested regions of British Columbia, grizzlies are solitary and wide-ranging, with home ranges spanning hundreds of square kilometres. They play a keystone role in ecosystems by turning over soil, dispersing seeds, and regulating prey populations. Grizzlies enter hibernation from November to April, and like black bears, undergo hyperphagia in late summer, consuming up to 20,000 calories daily to prepare for winter.",Source,relative index value (0-100),icon-grizzly-bear,,
07-habitat-cores,7.0 Habitat Cores,"Protected areas and other relatively undisturbed wildland habitats are defined by stable environmental conditions and healthy terrestrial ecosystem functions that sustain the life-cycle needs of diverse animal and plant communities. Wildlife habitat cores range from large home-range areas to smaller stepping-stone patches within fragmented landscapes. They serve as resource hubs within broader networks of ecological connectivity, offering refuge for larger animals migrating along movement pathways between areas of higher habitat suitability, as well as for resident populations of smaller animals.",icon-icon-habitat-cores,07-01-large-range-species,7.1 Large-Range Species,"Habitat cores for large-ranging focal species reflect access to food, water, and shelter; reproduction; social structures (i.e., solitary or group behaviour); environmental stability; and the ability to move freely within a given home range.  For carnivore species in this grouping, habitat cores are characterized by mean home-range sizes of 30 square kilometres, minimum stepping-stone patch sizes of 13,000 hectares, and dispersal distances of 60 kilometres.",icon-large-range-species,07-01-02-wolverine,7.1.2 Wolverine,"Wolverines are muscular, solitary carnivores known for their strength, endurance, and tenacity. With thick dark fur, pale facial masks, and bushy tails, they resemble small bears more than weasels. Wolverines are adapted to cold, snowy environments and can travel vast distances in search of food. They scavenge large carcasses and hunt small prey, often caching food. In BC, wolverines are rare and elusive, with populations concentrated in remote mountainous terrain. Their low reproductive rate and sensitivity to disturbance make them vulnerable to habitat fragmentation.",Source,relative index value (0-100),icon-wolverine,,
07-habitat-cores,7.0 Habitat Cores,"Protected areas and other relatively undisturbed wildland habitats are defined by stable environmental conditions and healthy terrestrial ecosystem functions that sustain the life-cycle needs of diverse animal and plant communities. Wildlife habitat cores range from large home-range areas to smaller stepping-stone patches within fragmented landscapes. They serve as resource hubs within broader networks of ecological connectivity, offering refuge for larger animals migrating along movement pathways between areas of higher habitat suitability, as well as for resident populations of smaller animals.",icon-icon-habitat-cores,07-01-large-range-species,7.1 Large-Range Species,"Habitat cores for large-ranging focal species reflect access to food, water, and shelter; reproduction; social structures (i.e., solitary or group behaviour); environmental stability; and the ability to move freely within a given home range.  For carnivore species in this grouping, habitat cores are characterized by mean home-range sizes of 30 square kilometres, minimum stepping-stone patch sizes of 13,000 hectares, and dispersal distances of 60 kilometres.",icon-large-range-species,07-01-03-pacific-fisher,7.1.3 Pacific Fisher,"The Pacific fisher is a secretive, forest-dwelling carnivore in the weasel family. With sleek chocolate-brown fur, bushy tails, and agile bodies, fishers are expert climbers and hunters. They prefer mature coniferous forests with complex canopy structure and abundant windfall timber, which they use for denning and hunting. Despite their name, fishers do not eat fish and instead they prey on squirrels, snowshoe hares, and even porcupines. In BC, Pacific fishers are rare and declining, with fragmented populations in the southern interior and isolated individuals in the Sea-to-sky region.",Source,relative index value (0-100),icon-pacific-fisher,,
07-habitat-cores,7.0 Habitat Cores,"Protected areas and other relatively undisturbed wildland habitats are defined by stable environmental conditions and healthy terrestrial ecosystem functions that sustain the life-cycle needs of diverse animal and plant communities. Wildlife habitat cores range from large home-range areas to smaller stepping-stone patches within fragmented landscapes. They serve as resource hubs within broader networks of ecological connectivity, offering refuge for larger animals migrating along movement pathways between areas of higher habitat suitability, as well as for resident populations of smaller animals.",icon-icon-habitat-cores,07-01-large-range-species,7.1 Large-Range Species,"Habitat cores for large-ranging focal species reflect access to food, water, and shelter; reproduction; social structures (i.e., solitary or group behaviour); environmental stability; and the ability to move freely within a given home range.  For carnivore species in this grouping, habitat cores are characterized by mean home-range sizes of 30 square kilometres, minimum stepping-stone patch sizes of 13,000 hectares, and dispersal distances of 60 kilometres.",icon-large-range-species,07-01-04-canada-lynx,7.1.4 Canada Lynx,"Canada lynx are elusive, long-legged felines with tufted ears, short tails, and thick fur adapted to cold climates. Their oversized paws act like snowshoes, allowing them to hunt effectively in deep snow. Lynx are highly specialised predators of snowshoe hares, and their populations fluctuate in tandem with hare abundance. Solitary and nocturnal, lynx prefer dense coniferous forests with abundant understory and minimal human disturbance. In BC, they are most common in interior plateaus and northern ranges, with scattered individuals in the Sea-to-Sky region.",Source,relative index value (0-100),icon-canada-lynx,,
07-habitat-cores,7.0 Habitat Cores,"Protected areas and other relatively undisturbed wildland habitats are defined by stable environmental conditions and healthy terrestrial ecosystem functions that sustain the life-cycle needs of diverse animal and plant communities. Wildlife habitat cores range from large home-range areas to smaller stepping-stone patches within fragmented landscapes. They serve as resource hubs within broader networks of ecological connectivity, offering refuge for larger animals migrating along movement pathways between areas of higher habitat suitability, as well as for resident populations of smaller animals.",icon-icon-habitat-cores,07-02-medium-range-species,7.2 Medium-Range Species,"Habitat cores for large-ranging focal species reflect access to food, water, and shelter; reproduction; social structures (i.e., solitary or group behaviour); environmental stability; and the ability to move freely within a given home range.  For carnivore species in this grouping, habitat cores are characterized by mean home-range sizes of 30 square kilometres, minimum stepping-stone patch sizes of 13,000 hectares, and dispersal distances of 60 kilometres.",icon-moderate-range-species,07-02-01-black-bear,7.2.1 Black Bear,"Black bears are adaptable mammals found throughout British Columbia’s diverse landscapes, from coastal rainforests to alpine slopes. They have a stocky build, short claws, and a keen sense of smell that helps them forage for berries, insects, and fish. Their coat can range in colour from jet black to cinnamon or even creamy white. They play a vital role in maintaining healthy ecosystems by dispersing seeds and recycling nutrients. Unless food is abundant, black bears typically hibernate from November to March. From September, bears enter hyperphagia, during which their calorie intake increases from 5,000 to 20,000 per day.",Source,relative index value (0-100),icon-black-bear,,
07-habitat-cores,7.0 Habitat Cores,"Protected areas and other relatively undisturbed wildland habitats are defined by stable environmental conditions and healthy terrestrial ecosystem functions that sustain the life-cycle needs of diverse animal and plant communities. Wildlife habitat cores range from large home-range areas to smaller stepping-stone patches within fragmented landscapes. They serve as resource hubs within broader networks of ecological connectivity, offering refuge for larger animals migrating along movement pathways between areas of higher habitat suitability, as well as for resident populations of smaller animals.",icon-icon-habitat-cores,07-02-medium-range-species,7.2 Medium-Range Species,"Habitat cores for large-ranging focal species reflect access to food, water, and shelter; reproduction; social structures (i.e., solitary or group behaviour); environmental stability; and the ability to move freely within a given home range.  For carnivore species in this grouping, habitat cores are characterized by mean home-range sizes of 30 square kilometres, minimum stepping-stone patch sizes of 13,000 hectares, and dispersal distances of 60 kilometres.",icon-moderate-range-species,07-02-02-mountain-goat,7.2.2 Mountain Goat,"Mountain goats are iconic alpine specialists, adapted to life on steep cliffs and rugged terrain. With thick white coats, black horns, and muscular builds, they navigate vertical landscapes with ease. Their split hooves and rough pads provide grip on rock faces, allowing them to escape predators and access high-elevation forage. Found throughout BC’s mountainous regions, mountain goats are sensitive to disturbance and require undisturbed escape terrain. Their seasonal movements follow snowlines and forage availability, often descending in winter and ascending in summer.",Source,relative index value (0-100),icon-mountain-goat,,
07-habitat-cores,7.0 Habitat Cores,"Protected areas and other relatively undisturbed wildland habitats are defined by stable environmental conditions and healthy terrestrial ecosystem functions that sustain the life-cycle needs of diverse animal and plant communities. Wildlife habitat cores range from large home-range areas to smaller stepping-stone patches within fragmented landscapes. They serve as resource hubs within broader networks of ecological connectivity, offering refuge for larger animals migrating along movement pathways between areas of higher habitat suitability, as well as for resident populations of smaller animals.",icon-icon-habitat-cores,07-02-medium-range-species,7.2 Medium-Range Species,"Habitat cores for large-ranging focal species reflect access to food, water, and shelter; reproduction; social structures (i.e., solitary or group behaviour); environmental stability; and the ability to move freely within a given home range.  For carnivore species in this grouping, habitat cores are characterized by mean home-range sizes of 30 square kilometres, minimum stepping-stone patch sizes of 13,000 hectares, and dispersal distances of 60 kilometres.",icon-moderate-range-species,07-02-03-black-tailed-deer,7.2.3 Black-Tailed Deer,"Black-tailed deer, also known as mule deer, are browsers adapted to BC’s coastal rainforests. With reddish-brown summer coats and darker winter pelage, they’re named for their distinctive black-tipped tails. These deer are crepuscular, feeding at dawn and dusk, and rely on dense understory for cover. Males grow forked antlers annually, shedding them in late winter. Black-tailed deer are a vital prey species for cougars and wolves and play a key role in shaping forest vegetation through browsing.",Source,relative index value (0-100),icon-black-tailed-deer,,
07-habitat-cores,7.0 Habitat Cores,"Protected areas and other relatively undisturbed wildland habitats are defined by stable environmental conditions and healthy terrestrial ecosystem functions that sustain the life-cycle needs of diverse animal and plant communities. Wildlife habitat cores range from large home-range areas to smaller stepping-stone patches within fragmented landscapes. They serve as resource hubs within broader networks of ecological connectivity, offering refuge for larger animals migrating along movement pathways between areas of higher habitat suitability, as well as for resident populations of smaller animals.",icon-icon-habitat-cores,07-03-small-range-species,7.3 Small-Range Species,"Habitat cores for small-ranging focal species reflect life-cycle needs such as access to food, water, and shelter; reproduction; social structures (i.e., solitary or group behaviour); environmental stability; and the ability to move freely within a given home range.  For species in this grouping, habitat cores are characterized by mean home-range sizes of less than 1 square kilometre, minimum stepping-stone patch sizes of 350 hectares, and dispersal distances of 6 kilometres.",icon-small-range-species,07-03-01-hoary-marmot,7.3.1 Hoary Marmot,"Hoary marmots are large, social ground squirrels known for their loud whistles, which gave Whistler its name, and communal sunbathing. Their thick silver-grey fur and white muzzle give them a frosted appearance, hence the name “hoary.” Marmots live in colonies and dig extensive burrow systems in alpine meadows, where they forage during the short summer season. They hibernate for up to eight months, relying on fat reserves built during peak forage. In BC, hoary marmots are common in high-elevation habitats, including the Garibaldi and Tantalus ranges.",Source,relative index value (0-100),icon-hoary-marmot,,
07-habitat-cores,7.0 Habitat Cores,"Protected areas and other relatively undisturbed wildland habitats are defined by stable environmental conditions and healthy terrestrial ecosystem functions that sustain the life-cycle needs of diverse animal and plant communities. Wildlife habitat cores range from large home-range areas to smaller stepping-stone patches within fragmented landscapes. They serve as resource hubs within broader networks of ecological connectivity, offering refuge for larger animals migrating along movement pathways between areas of higher habitat suitability, as well as for resident populations of smaller animals.",icon-icon-habitat-cores,07-03-small-range-species,7.3 Small-Range Species,"Habitat cores for small-ranging focal species reflect life-cycle needs such as access to food, water, and shelter; reproduction; social structures (i.e., solitary or group behaviour); environmental stability; and the ability to move freely within a given home range.  For species in this grouping, habitat cores are characterized by mean home-range sizes of less than 1 square kilometre, minimum stepping-stone patch sizes of 350 hectares, and dispersal distances of 6 kilometres.",icon-small-range-species,07-03-02-douglas’s-squirrel,7.3.2 Douglas’s Squirrel,"he Douglas squirrel is a lively, vocal tree squirrel with a rusty brown back, pale belly, bushy tail, and a distinct black side stripe in summer. Known for its rapid movements and sharp chatter, it plays a key role in forest ecosystems by dispersing seeds and spores. These squirrels are active year-round, caching cones and mushrooms around the forest. They prefer mature coniferous forests, especially those dominated by Douglas-fir, hemlock, and pine. Their nests, called dreys, are built in tree cavities or branch forks and lined with moss and bark.",Source,relative index value (0-100),icon-douglass-squirell,,
07-habitat-cores,7.0 Habitat Cores,"Protected areas and other relatively undisturbed wildland habitats are defined by stable environmental conditions and healthy terrestrial ecosystem functions that sustain the life-cycle needs of diverse animal and plant communities. Wildlife habitat cores range from large home-range areas to smaller stepping-stone patches within fragmented landscapes. They serve as resource hubs within broader networks of ecological connectivity, offering refuge for larger animals migrating along movement pathways between areas of higher habitat suitability, as well as for resident populations of smaller animals.",icon-icon-habitat-cores,07-03-small-range-species,7.3 Small-Range Species,"Habitat cores for small-ranging focal species reflect life-cycle needs such as access to food, water, and shelter; reproduction; social structures (i.e., solitary or group behaviour); environmental stability; and the ability to move freely within a given home range.  For species in this grouping, habitat cores are characterized by mean home-range sizes of less than 1 square kilometre, minimum stepping-stone patch sizes of 350 hectares, and dispersal distances of 6 kilometres.",icon-small-range-species,07-03-03-yellow-pine-chipmunk,7.3.3 Yellow-Pine Chipmunk,"The yellow-pine chipmunk is a small, agile rodent with bold facial stripes and a reddish-brown back. Chipmunks are excellent climbers and often forage in shrubs and low trees. They’re active during the day, storing food in cheek pouches and caching seeds for winter. Yellow-pine chipmunks hibernate in colder months, emerging in spring to breed and forage. Their vocalisations include high-pitched chips and trills used for alarm and territory defence.",Source,relative index value (0-100),icon-yellow-pine-chipmunk,,
